Variable,P-value
DD_wavelet-HLH_glcm_Imc2,0.9563618456990797
DD_wavelet-HLH_glcm_SumEntropy,0.07946879120176771
DD_wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.9782539971726603
DD_wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.016070700246348293
DD_wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.0019809520543192026
DD_wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.06413107650163408
DD_wavelet-HLH_glszm_LargeAreaEmphasis,0.009675569157236549
DD_wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.017387660077872406
DD_wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.1300262966766179
DD_wavelet-HLH_glszm_SmallAreaEmphasis,0.02966843772413096
DD_wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,0.7730743215415734
DD_wavelet-HHL_firstorder_Kurtosis,0.874486514156825
DD_wavelet-HHL_firstorder_Skewness,0.4977306093457864
DD_wavelet-HHL_glcm_ClusterShade,0.33106108220800423
DD_wavelet-HHL_glcm_ClusterTendency,0.17949664442784452
DD_wavelet-HHL_glcm_Contrast,0.5173118720956601
DD_wavelet-HHL_glcm_Correlation,0.771389003251388
DD_wavelet-HHL_glcm_DifferenceEntropy,0.14813139638411596
DD_wavelet-HHL_glcm_Imc2,0.9782539971726603
DD_wavelet-HHL_glcm_SumEntropy,0.02966843772413096
DD_wavelet-HHL_glrlm_LongRunEmphasis,0.07506151126546008
DD_wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.874486514156825
DD_wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.04697408886770447
DD_wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.009675569157236549
DD_wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.03113466104859239
DD_wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.6214843502338135
DD_wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.22709695402689967
DD_wavelet-HHL_glszm_SmallAreaEmphasis,0.19574002615627334
DD_wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.8227789914454768
DD_wavelet-HHH_firstorder_Kurtosis,0.009675569157236549
DD_wavelet-HHH_firstorder_Skewness,0.09041748324667273
DD_wavelet-HHH_glcm_ClusterTendency,0.33106108220800423
DD_wavelet-HHH_glcm_Contrast,0.7044303843798608
DD_wavelet-HHH_glcm_Correlation,0.8225233749341401
